order_id,customer_id,order_status,order_date,required_date,shipped_date,store_id,staff_id,extract_time,source,late_delivery,weekend,latency_days,item_id,product_id,quantity,list_price_x,discount,extract_time_x,source_x,USD_to_EGP,list_price_egp,product_name,brand_id,category_id,model_year,list_price_y,extract_time_y,source_y
1,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,1714409902.288391,DB,False,True,,1,20,1,599.99,0.2,1714409905.065816,DB,47.9,28739.521,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,1714324926.991976,datalake 
1,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,1714409902.288391,DB,False,True,,2,8,2,1799.99,0.07,1714409905.065816,DB,47.9,86219.521,Trek Remedy 29 Carbon Frameset - 2016,9,6,2016,1799.99,1714324926.991976,datalake 
1,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,1714409902.288391,DB,False,True,,3,10,2,1549.0,0.05,1714409905.065816,DB,47.9,74197.09999999999,Surly Straggler - 2016,8,4,2016,1549.0,1714324926.991976,datalake 
1,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,1714409902.288391,DB,False,True,,4,16,2,599.99,0.05,1714409905.065816,DB,47.9,28739.521,Electra Townie Original 7D EQ - 2016,1,3,2016,599.99,1714324926.991976,datalake 
1,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,1714409902.288391,DB,False,True,,5,4,1,2899.99,0.2,1714409905.065816,DB,47.9,138909.52099999998,Trek Fuel EX 8 29 - 2016,9,6,2016,2899.99,1714324926.991976,datalake 
2,1212,4,2016-01-01,2016-01-04,2016-01-03,2,6,1714409902.288391,DB,False,True,,1,20,1,599.99,0.07,1714409905.065816,DB,47.9,28739.521,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,1714324926.991976,datalake 
2,1212,4,2016-01-01,2016-01-04,2016-01-03,2,6,1714409902.288391,DB,False,True,,2,16,2,599.99,0.05,1714409905.065816,DB,47.9,28739.521,Electra Townie Original 7D EQ - 2016,1,3,2016,599.99,1714324926.991976,datalake 
3,523,4,2016-01-02,2016-01-05,2016-01-03,2,7,1714409902.288391,DB,False,True,,1,3,1,999.99,0.05,1714409905.065816,DB,47.9,47899.521,Surly Wednesday Frameset - 2016,8,6,2016,999.99,1714324926.991976,datalake 
3,523,4,2016-01-02,2016-01-05,2016-01-03,2,7,1714409902.288391,DB,False,True,,2,20,1,599.99,0.05,1714409905.065816,DB,47.9,28739.521,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,1714324926.991976,datalake 
4,175,4,2016-01-03,2016-01-04,2016-01-05,1,3,1714409902.288391,DB,True,False,1.0,1,2,2,749.99,0.1,1714409905.065816,DB,47.9,35924.521,Ritchey Timberwolf Frameset - 2016,5,6,2016,749.99,1714324926.991976,datalake 
5,1324,4,2016-01-03,2016-01-06,2016-01-06,2,6,1714409902.288391,DB,False,False,,1,10,2,1549.0,0.05,1714409905.065816,DB,47.9,74197.09999999999,Surly Straggler - 2016,8,4,2016,1549.0,1714324926.991976,datalake 
5,1324,4,2016-01-03,2016-01-06,2016-01-06,2,6,1714409902.288391,DB,False,False,,2,17,1,429.0,0.07,1714409905.065816,DB,47.9,20549.1,Pure Cycles Vine 8-Speed - 2016,4,3,2016,429.0,1714324926.991976,datalake 
5,1324,4,2016-01-03,2016-01-06,2016-01-06,2,6,1714409902.288391,DB,False,False,,3,26,1,599.99,0.07,1714409905.065816,DB,47.9,28739.521,Electra Townie Original 7D EQ - 2016,1,2,2016,599.99,1714324926.991976,datalake 
13,873,4,2016-01-08,2016-01-11,2016-01-11,2,6,1714409902.288391,DB,False,True,,1,13,1,269.99,0.1,1714409905.065816,DB,47.9,12932.521,Electra Cruiser 1 (24-Inch) - 2016,1,3,2016,269.99,1714324926.991976,datalake 
13,873,4,2016-01-08,2016-01-11,2016-01-11,2,6,1714409902.288391,DB,False,True,,2,17,2,429.0,0.05,1714409905.065816,DB,47.9,20549.1,Pure Cycles Vine 8-Speed - 2016,4,3,2016,429.0,1714324926.991976,datalake 
13,873,4,2016-01-08,2016-01-11,2016-01-11,2,6,1714409902.288391,DB,False,True,,3,20,2,599.99,0.1,1714409905.065816,DB,47.9,28739.521,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,1714324926.991976,datalake 
